target_id,goal,indicator_id,indicator
1.G.4,1,1.G.4.reg,"Average income entitling one to the right to rent a residential premises in the municipal resources in single-person households"
1.G.5,1,1.G.5.reg,"Number of dwellings owned by social housing associations (TBS)"
1.G.6,1,1.G.6.reg,"Number of dwellings owned by municipalities (municipal)"
1.G.7,1,1.G.7.reg,"Total number of households awaiting social renting in urban areas"
1.G.8,1,1.G.8.reg,"Number of dwellings per 1 thous. population"
2.A.1,2,2.A.1.reg,"Gross value added per person employed in agriculture, forestry and fishing (Poland=100)"
2.A.2,2,2.A.2.reg,"Percentage of newly registered entities in the agri-food processing sector"
2.A.3,2,2.A.3.reg,"Gross agricultural output per 1 ha of agricultural land"
2.B.1,2,2.B.1.reg,"Indices of gross agricultural output (previous year = 100)"
2.B.2,2,2.B.2.reg,"Share of agricultural market output in final agricultural output"
2.B.3,2,2.B.3.reg,"Share of agricultural market output in total agricultural output (in constant prices previous year)"
2.B.4,2,2.B.4.reg,"Number of salmonellosis cases"
2.B.5,2,2.B.5.reg,"Number of bacterial dysentery cases"
2.B.6,2,2.B.6.reg,"Number of other bacterial food poisoning cases"
2.B.7,2,2.B.7.reg,"Number of trichinosis cases"
2.C.1,2,2.C.1.reg,"Share of certified agricultural land area of organic farms in total agricultural land area of farms"
2.C.2,2,2.C.2.reg,"Share of organic farm area in total agricultural land"
2.D.1,2,2.D.1.reg,"Consumption of mineral fertilizers per 1 ha of agricultural land according to the new definition"
2.D.2,2,2.D.2.reg,"Consumption of lime fertilizers per 1 ha of agricultural land according to the new definition"
2.E.1,2,2.E.1.reg,"Expenditures on R&D in the corporate sector in food production"
2.E.2,2,2.E.2.reg,"Expenditure on R&D in agriculture in relation to GDP"
3.A.1,3,3.A.1.reg,"Number of physicians per 10 thous. population (employed persons in the main place of work)"
3.A.2,3,3.A.2.reg,"Number of dentists per 10 thous. population (employed persons in the main place of work)"
3.A.3,3,3.A.3.reg,"Number of nurses and midwives per 10 thous. population (employed persons in the main place of work)"
3.A.4,3,3.A.4.reg,"Emergency rescue teams per 100 thous. population"
3.A.5,3,3.A.5.reg,"Number of patients in nursing homes per 10 thous. population"
3.A.6,3,3.A.6.reg,"Number of patients in chronic medical care homes per 10 thous. population"
3.A.7,3,3.A.7.reg,"Number of patients in hospices per 10 thous. population"
3.B.1,3,3.B.1.reg,"Number of beds in hospices, chronic medical care homes and nursing homes per 100 thous. population"
3.B.2,3,3.B.2.reg,"Average number of beds in health resort hospital and health resort sanatoria"
3.B.3,3,3.B.3.reg,"Number of out-patients departments per 10 thous. population"
3.B.4,3,3.B.4.reg,"Number of beds in hospitals per 10 thous. population"
3.C.1,3,3.C.1.reg,"Number of physicians specialists per 10 thous. population"
3.C.2,3,3.C.2.reg,"Number of deaths due to diseases of the circulatory system per 100 thous. population "
3.C.3,3,3.C.3.reg,"Number of deaths due to malignant neoplasms per 100 thous. population "
3.C.4,3,3.C.4.reg,"Number of deaths due to mental and behavioural disorders per 100 thous. population "
3.C.5,3,3.C.5.reg,"Number of female deaths due to cervical cancer per 100 thous. women"
3.C.6,3,3.C.6.reg,"Number of deaths due to chronic respiratory disease per 100 thous. population "
3.C.7,3,3.C.7.reg,"Number of deaths due to diseases of the digestive system per 100 thous. population "
3.D.1,3,3.D.1.reg,"Students of health field of education"
3.D.2,3,3.D.2.reg,"Graduates of health field of education"
3.D.3,3,3.D.3.reg,"Students of post-secondary schools, including colleges of social workers - health narrow field of education"
3.D.4,3,3.D.4.reg,"Participants of postgraduate studies in health fields of education"
3.D.5,3,3.D.5.reg,"Participants of doctoral and doctoral studies at universities supervised by the minister responsible for health affairs"
3.E.1,3,3.E.1.reg,"Life expectancy - males"
3.E.2,3,3.E.2.reg,"Life expectancy - females"
3.E.3,3,3.E.3.reg,"Healthy Life Years — males "
3.E.4,3,3.E.4.reg,"Healthy Life Years — females"
3.E.5,3,3.E.5.reg,"Number of influenza cases and suspected influenza cases per 100 population"
3.E.6,3,3.E.6.reg,"Number of cases of bacterial meningitis and/or encephalitis per 100 thous. population"
3.E.7,3,3.E.7.reg,"Number of hepatitis C cases per 100 thous. population"
3.E.8,3,3.E.8.reg,"Number of cases of invasive infections (Streptococcus pneumoniae) per 10 thous. population"
3.E.9,3,3.E.9.reg,"Number of Lyme disease cases per 10 thous. population"
3.E.10,3,3.E.10.reg,"Number of medical consultations provided in primary health care per capita"
3.E.11,3,3.E.11.reg,"Number of medical consultations provided in out-patient health care per capita"
3.E.12,3,3.E.12.reg,"Number of medical specialised consultations provided in out-patient health care per capita"
3.E.13,3,3.E.13.reg,"Number of days of stay of children and adolescents aged 0-18 in health resort hospital and health resort sanatoria"
3.E.14,3,3.E.14.reg,"Persons practicing sports in sport clubs per 1 thous. population"
3.E.15,3,3.E.15.reg,"Percentage of recreational and sports facilities adapted to the needs of disabled persons (exercising)"
3.E.16,3,3.E.16.reg,"Patients treated in-patients in health resort hospitals and inpatient rehabilitation facilities"
3.E.17,3,3.E.17.reg,"Patients treated outpatients in health resort treatment center and and outpatient rehabilitation facilities"
3.F.1,3,3.F.1.reg,"Area of uncontrolled dumping sites per 100 km2 total area"
3.F.2,3,3.F.2.reg,"Share of green areas in the total area "
3.F.3,3,3.F.3.reg,"Emission of gaseous pollutants per capita"
3.F.4,3,3.F.4.reg,"Emission of particulate matter per capita"
3.F.5,3,3.F.5.reg,"Share of population living in areas covered by revitalization processes in the total population"
3.G.1,3,3.G.1.reg,"Calls to the occurrence places of emergency rescue teams"
3.G.2,3,3.G.2.reg,"Persons who received health care services at the occurrence place per 1 thous. population"
4.A.1,4,4.A.1.reg,"Share of graduates of vocational schools of the first and second degree in the total number of graduates of upper secondary schools (vocational schools of the first and second degree, technical secondory schools and general secondary schools)"
4.A.2,4,4.A.2.reg,"Share of technical school graduates in the total number of post-primary school graduates (vocational schools of the first and second degree, technical secondory schools and general secondary schools)"
4.A.3,4,4.A.3.reg,"Average number of students per teacher in vocational schools of the first and second degree"
4.A.4,4,4.A.4.reg,"Average number of students per teacher in technical secondory schools"
4.B.1,4,4.B.1.reg,"Percentage of students with disabilities"
4.B.2,4,4.B.2.reg,"Number of students receiving scholarships for persons with disabilities"
4.B.3,4,4.B.3.reg,"Number of disabled students receiving individual teaching in primary schools"
4.C.1,4,4.C.1.reg,"Number of primary schools per 1 thous. pupils"
4.C.2,4,4.C.2.reg,"Number of general secondary schools per 1 thous. pupils"
4.C.3,4,4.C.3.reg,"Number of basic vocational and sectoral vocational schools per 1 thous. pupils"
4.D.1,4,4.D.1.reg,"Percentage of children aged 3-5 covered by pre-primary education"
4.D.2,4,4.D.2.reg,"Passing rate of secondary school leaving exam"
4.D.3,4,4.D.3.reg,"Passing rate of secondary school leaving exam (Poland=100)"
4.D.4,4,4.D.4.reg,"Average number of pupils per 1 teacher in primary schools for children and youth"
4.D.5,4,4.D.5.reg,"Average number of pupils per 1 teacher in secondary schools for children and youth"
4.D.6,4,4.D.6.reg,"Number of students of higher education institutions per 10 thous. population"
4.E.1,4,4.E.1.reg,"Percentage of adults participating in education or training (aged 25–64)"
4.E.2,4,4.E.2.reg,"Number of graduates of higher education institutions per 10 thous. population"
4.E.3,4,4.E.3.reg,"Number of students of non-degree postgraduate programmes per 1 thous. population of working and post-working age "
4.F.1,4,4.F.1.reg,"Percentage of graduates of higher education institutions in fields of technology and natural sciences (excluding foreigners) – ISCED'97"
4.F.2,4,4.F.2.reg,"Young people aged 18-24 in education"
4.G.1,4,4.G.1.reg,"Percentage of participants in classes in out-of-school educational institutions"
4.G.2,4,4.G.2.reg,"Percentage of participants in computer classes in out-of-school educational institutions"
4.G.3,4,4.G.3.reg,"Percentage of participants in technical classes in out-of-school educational institutions"
4.G.4,4,4.G.4.reg,"Percentage of participants in sports classes in out-of-school educational institutions"
4.G.5,4,4.G.5.reg,"Percentage of persons with above basic overall digital skills"
5.A.1,5,5.A.1.reg,"Number of places in nurseries and children’s clubs per 1 thous. children up to the age of 3"
5.A.2,5,5.A.2.reg,"Access to care places for children aged 1-2 years "
5.A.3,5,5.A.3.reg,"Life expectancy - males"
5.A.4,5,5.A.4.reg,"Life expectancy - females"
5.A.5,5,5.A.5.reg,"Percentage of economically inactive persons due to family and household responsibilities"
5.A.6,5,5.A.6.reg,"Employment rate of women with the youngest child up to 5 years old (LFS)"
5.A.7,5,5.A.7.reg,"Percentage of registered unemployed women"
5.A.8,5,5.A.8.reg,"Number of women who did not start work after childbirth per 10 thous. inhabitants"
5.A.9,5,5.A.9.reg,"Employment rate of persons in working age"
6.A.1,6,6.A.1.reg,"Exploitable underground water resources [hm³]"
6.A.2,6,6.A.2.reg,"Outlays on fixed assets and tangible effects of investments in environmental protection and water management per capita"
6.B.1,6,6.B.1.reg,"Percentage of population connected to wastewater treatment plants"
6.B.2,6,6.B.2.reg,"Total number of organic farms per 10 thous. population"
6.B.3,6,6.B.3.reg,"Total number of certified organic farms per 10 thous. population"
6.B.4,6,6.B.4.reg,"Share of organic farm area in total agricultural land"
6.B.5,6,6.B.5.reg,"Share of certified agricultural land area of organic farms in total agricultural land area of farms"
6.C.1,6,6.C.1.reg,"Investment outlays for the construction of small water retention facilities"
6.C.2,6,6.C.2.reg,"Number of small water retention facilities"
6.C.3,6,6.C.3.reg,"Capacity of small water retention facilities per 1 km2"
6.C.4,6,6.C.4.reg,"Water withdrawal for the needs of the national economy and population during the year in total per 1 km2 of area"
6.C.5,6,6.C.5.reg,"Consumption of water for needs of the national economy and population"
6.C.6,6,6.C.6.reg,"Total household water consumption per user (m³/year)"
6.D.1,6,6.D.1.reg,"Exploitation of water supply network - surface water"
6.D.2,6,6.D.2.reg,"Exploitation of water supply network - underground waters"
6.D.3,6,6.D.3.reg,"Water treatment plants in rural areas per 10 thous. population"
6.D.4,6,6.D.4.reg,"Percentage of residential buildings connected to the sewage system"
6.D.5,6,6.D.5.reg,"Percentage of population connected to wastewater treatment plants"
6.D.6,6,6.D.6.reg,"Number of treated sewage with increased nutrient removal"
6.D.7,6,6.D.7.reg,"Industrial and municipal wastewater treated biologically, chemically and with increased biogene removal in % of wastewater requiring treatment"
6.D.8,6,6.D.8.reg,"Number of household independent wastewater treatment systems"
6.D.9,6,6.D.9.reg,"The difference between the percentage of the population using water and sewage systems in urban areas"
6.D.10,6,6.D.10.reg,"he difference between the percentage of the population using water and sewage systems in rural areas"
6.E.1,6,6.E.1.reg,"Outlays on fixed assets and tangible effects of investments in environmental protection and water management per capita"
6.E.2,6,6.E.2.reg,"Investment outlays for the construction of small water retention facilities"
6.E.3,6,6.E.3.reg,"Outlays on fixed assets and tangible effects of investments in sewage management and water protection"
6.E.4,6,6.E.4.reg,"Investment outlays for the collective water supply systems in rural areas"
6.E.5,6,6.E.5.reg,"Investment outlays for the collective sewage systems in rural areas"
7.A.1,7,7.A.1.reg,"Electricity generated from renewable sources"
7.A.2,7,7.A.2.reg,"Ratio of electricity production to its consumption"
7.B.1,7,7.B.1.reg,"Total consumption of electricity per capita"
7.B.2,7,7.B.2.reg,"Percentage of population connected to gas supply system"
7.B.3,7,7.B.3.reg,"The density of heating transmission and distribution network"
7.B.4,7,7.B.4.reg,"Ratio of electricity production to its consumption"
7.C.1,7,7.C.1.reg,"Share of electricity consumers in the total number of inhabitants"
7.C.2,7,7.C.2.reg,"Share of gaseous pollution retained or neutralized in pollutant reduction systems in the total pollutants generated"
8.A.1,8,8.A.1.reg,"GDP per capita at PPP (EU27=100)"
8.A.2,8,8.A.2.reg,"Share of net revenues from sales of products of entities classified as high-tech and medium high-tech production - enterprises with 10 or more employees"
8.A.3,8,8.A.3.reg,"Share of industrial enterprises incurring expenditure on innovation activities - enterprises employing 10 employees or more"
8.A.4,8,8.A.4.reg,"Ratio expenditures on innovation activities in enterprises to GDP"
8.A.5,8,8.A.5.reg,"Foreign capital per capita of working age"
8.B.1,8,8.B.1.reg,"Entities of the national economy per 10 thous. population in working age"
8.B.2,8,8.B.2.reg,"Expenditures on innovation activities in enterprises as a share of gross fixed capital formation"
8.B.3,8,8.B.3.reg,"Number of newly registered entities of the national economy per 10 thous. population"
8.C.1,8,8.C.1.reg,"Employment rate of persons in working age"
8.C.2,8,8.C.2.reg,"Percentage of employed persons in relation to the number of persons employed in the national economy"
8.C.3,8,8.C.3.reg,"Percentage of young people neither in employment nor in education and training (NEET)"
8.D.1,8,8.D.1.reg,"Number of women who did not start work after childbirth per 10 thous. inhabitants"
8.D.2,8,8.D.2.reg,"Long-term unemployment as a percentage of the total unemployment (aged 20-64) (LFS)"
8.D.3,8,8.D.3.reg,"Unemployment rate (LFS)"
8.D.4,8,8.D.4.reg,"Employment rate of persons in working age"
8.D.5,8,8.D.5.reg,"Activity rate of persons aged 50-89"
8.D.6,8,8.D.6.reg,"Number of registered unemployed persons with no work seniority per 1 thous. population"
8.D.7,8,8.D.7.reg,"Employment rate of disabled persons aged 16-64"
8.D.8,8,8.D.8.reg,"Employment rate of persons aged 15-29"
8.D.9,8,8.D.9.reg,"Percentage of adults participating in education or training (aged 25–64)"
